,0,1,2,3,4,5,6,7,8,9
28_rural,3.8879569,-0.27686325,0.14739342,1.3607688,5.254731,-1.3479533,-0.8592678,-3.536243,-3.242836,-1.3597398
28_town,-10.958428,8.936225,2.0036428,-1.3082612,-5.7958565,5.664087,6.8806167,6.2583823,4.3353333,0.028762724
29_city,0.8049343,-0.31950697,0.69270533,-0.7284137,1.1800612,0.06905215,0.47547197,-0.327068,-2.2348623,0.6439635
29_rural,0.8957258,0.5665331,-0.11852964,-0.82690823,1.5426995,0.5816857,1.0606815,-0.81711644,-1.7644048,0.09384743
29_town,-0.29711583,1.8308312,-0.42113143,0.1203082,1.730075,0.6927328,0.7250127,-0.7711491,-0.4945829,0.069746494
303_city,2.6512408,-0.8303282,0.93565303,-1.6461446,1.1791295,-0.8919318,-0.6138348,-3.3340094,-1.8916546,0.961926
303_rural,1.682124,2.3768086,-0.3751326,-0.74479,2.2399895,0.92452264,0.98801756,-1.8652866,-2.794518,0.09670339
303_town,3.315499,0.3989049,-0.8992004,-1.2522259,3.3483129,-1.3245454,-1.4738331,-3.4241426,-1.7082531,0.522161
308_city,-0.92511773,0.6344381,2.0859714,-1.6281184,0.14435236,1.07671,2.1304047,-2.4190693,-1.4504737,0.59823793
308_rural,-0.2323424,1.2096225,-0.05595448,-1.6386338,2.3365037,0.96553916,1.0713874,-1.8164384,-1.9596587,-0.38447163
308_town,-0.43672788,2.3537683,-0.6703198,-1.7494595,2.6019359,0.3187797,0.726068,-2.4405131,-0.15052348,0.13677113
313_city,1.4683448,0.9468361,1.0825883,-1.4359608,1.309542,0.034963403,0.32530865,-3.828855,-2.1419702,1.2918984
313_rural,1.8266191,1.2643353,0.17767477,-1.6452162,3.205343,0.43213063,0.88574356,-3.4924057,-3.3781195,-0.696918
313_town,1.7665795,0.73958147,-1.3724116,-1.8446778,1.7291993,-0.19200219,-0.6023983,-3.559449,-1.1461565,0.62198126
315_city,0.43785876,-0.0008995108,1.3729308,-2.0301015,0.902385,0.28694993,1.2302758,-3.1644275,-1.1104141,0.6078208
315_rural,-1.2309836,2.9994693,0.40637687,-2.937405,0.42435226,2.2804935,2.1653256,-1.4094307,-1.090749,-0.15633185
315_town,-1.2669349,2.9001825,-0.40734288,-2.6164465,1.4919735,1.0408453,-0.30995584,-1.9212734,-0.5641492,0.11019212
316_city,-1.8758966,3.6049993,1.7241131,-1.4888122,0.042330027,1.829042,2.7462652,-2.3223403,0.013883576,-0.018636616
316_rural,2.997236,1.1699564,0.5019524,-0.49537218,4.5998363,-0.045597233,0.43355528,-6.0137606,-2.8000813,-0.9041182
